Date;Close
14/02/2014;13.989.999.389.648.400
18/02/2014;15.264.999.389.648.400
19/02/2014;171.75
20/02/2014;1.688.000.030.517.570
21/02/2014;1.685.500.030.517.570
24/02/2014;17.560.000.610.351.500
25/02/2014;17.564.999.389.648.400
26/02/2014;17.710.000.610.351.500
27/02/2014;178.75
28/02/2014;1.798.000.030.517.570
03/03/2014;19.260.000.610.351.500
04/03/2014;18.514.999.389.648.400
05/03/2014;20.064.999.389.648.400
06/03/2014;1.948.000.030.517.570
07/03/2014;1.960.500.030.517.570
10/03/2014;202.5
11/03/2014;2.050.500.030.517.570
12/03/2014;2.048.000.030.517.570
13/03/2014;2.050.500.030.517.570
14/03/2014;19.785.000.610.351.500
17/03/2014;18.989.999.389.648.400
18/03/2014;1.909.499.969.482.420
19/03/2014;18.510.000.610.351.500
20/03/2014;17.414.999.389.648.400
21/03/2014;17.114.999.389.648.400
24/03/2014;17.639.999.389.648.400
25/03/2014;1.753.000.030.517.570
26/03/2014;176.0
27/03/2014;17.635.000.610.351.500
28/03/2014;18.060.000.610.351.500
31/03/2014;17.789.999.389.648.400
01/04/2014;175.25
02/04/2014;1.726.999.969.482.420
03/04/2014;17.460.000.610.351.500
04/04/2014;185.0
07/04/2014;19.335.000.610.351.500
08/04/2014;196.5
09/04/2014;19.985.000.610.351.500
10/04/2014;20.610.000.610.351.500
11/04/2014;2.011.999.969.482.420
14/04/2014;20.485.000.610.351.500
15/04/2014;19.214.999.389.648.400
16/04/2014;1.859.499.969.482.420
17/04/2014;2.011.999.969.482.420
21/04/2014;1.966.999.969.482.420
22/04/2014;2.118.000.030.517.570
23/04/2014;21.235.000.610.351.500
24/04/2014;2.124.499.969.482.420
25/04/2014;204.75
28/04/2014;1.988.000.030.517.570
29/04/2014;20.889.999.389.648.400
30/04/2014;2.030.500.030.517.570
01/05/2014;2.014.499.969.482.420
02/05/2014;20.060.000.610.351.500
05/05/2014;20.239.999.389.648.400
06/05/2014;1.995.500.030.517.570
07/05/2014;19.839.999.389.648.400
08/05/2014;1.929.499.969.482.420
09/05/2014;1.808.000.030.517.570
12/05/2014;18.610.000.610.351.500
13/05/2014;18.364.999.389.648.400
14/05/2014;180.75
15/05/2014;19.414.999.389.648.400
16/05/2014;182.5
19/05/2014;18.014.999.389.648.400
20/05/2014;1.856.999.969.482.420
21/05/2014;18.139.999.389.648.400
22/05/2014;18.135.000.610.351.500
23/05/2014;18.189.999.389.648.400
27/05/2014;17.935.000.610.351.500
28/05/2014;17.614.999.389.648.400
29/05/2014;1.819.499.969.482.420
30/05/2014;177.5
02/06/2014;17.235.000.610.351.500
03/06/2014;17.114.999.389.648.400
04/06/2014;1.701.999.969.482.420
05/06/2014;16.914.999.389.648.400
06/06/2014;17.210.000.610.351.500
09/06/2014;16.535.000.610.351.500
10/06/2014;16.564.999.389.648.400
11/06/2014;17.160.000.610.351.500
12/06/2014;1.719.499.969.482.420
13/06/2014;1.736.999.969.482.420
16/06/2014;1.729.499.969.482.420
17/06/2014;1.690.500.030.517.570
18/06/2014;166.75
19/06/2014;167.0
20/06/2014;173.25
23/06/2014;17.510.000.610.351.500
24/06/2014;17.414.999.389.648.400
25/06/2014;1.799.499.969.482.420
26/06/2014;1.788.000.030.517.570
27/06/2014;1.704.499.969.482.420
30/06/2014;173.0
01/07/2014;1.683.000.030.517.570
02/07/2014;1.710.500.030.517.570
03/07/2014;16.939.999.389.648.400
07/07/2014;169.0
08/07/2014;1.701.999.969.482.420
09/07/2014;1.701.999.969.482.420
10/07/2014;160.25
11/07/2014;1.589.499.969.482.420
14/07/2014;1.623.000.030.517.570
15/07/2014;15.939.999.389.648.400
16/07/2014;16.035.000.610.351.500
17/07/2014;1.616.999.969.482.420
18/07/2014;1.706.999.969.482.420
21/07/2014;17.164.999.389.648.400
22/07/2014;1.683.000.030.517.570
23/07/2014;17.660.000.610.351.500
24/07/2014;1.783.000.030.517.570
25/07/2014;17.914.999.389.648.400
28/07/2014;18.110.000.610.351.500
29/07/2014;1.806.999.969.482.420
30/07/2014;182.5
31/07/2014;1.950.500.030.517.570
01/08/2014;19.235.000.610.351.500
04/08/2014;190.5
05/08/2014;18.939.999.389.648.400
06/08/2014;19.085.000.610.351.500
07/08/2014;184.0
08/08/2014;18.085.000.610.351.500
11/08/2014;18.914.999.389.648.400
12/08/2014;18.460.000.610.351.500
13/08/2014;185.25
14/08/2014;18.410.000.610.351.500
15/08/2014;188.75
18/08/2014;18.889.999.389.648.400
19/08/2014;1.821.999.969.482.420
20/08/2014;18.410.000.610.351.500
21/08/2014;183.75
22/08/2014;18.160.000.610.351.500
25/08/2014;182.75
26/08/2014;19.310.000.610.351.500
27/08/2014;19.239.999.389.648.400
28/08/2014;19.464.999.389.648.400
29/08/2014;195.75
02/09/2014;2.044.499.969.482.420
03/09/2014;1.973.000.030.517.570
04/09/2014;1.974.499.969.482.420
05/09/2014;19.285.000.610.351.500
08/09/2014;18.964.999.389.648.400
09/09/2014;18.810.000.610.351.500
10/09/2014;177.0
11/09/2014;1.805.500.030.517.570
12/09/2014;17.964.999.389.648.400
15/09/2014;1.773.000.030.517.570
16/09/2014;18.060.000.610.351.500
17/09/2014;18.064.999.389.648.400
19/09/2014;178.0
22/09/2014;17.939.999.389.648.400
23/09/2014;18.089.999.389.648.400
24/09/2014;18.910.000.610.351.500
25/09/2014;1.823.000.030.517.570
26/09/2014;1.860.500.030.517.570
29/09/2014;191.25
30/09/2014;19.335.000.610.351.500
01/10/2014;20.039.999.389.648.400
02/10/2014;20.860.000.610.351.500
03/10/2014;206.5
06/10/2014;2.208.000.030.517.570
07/10/2014;21.635.000.610.351.500
08/10/2014;2.144.499.969.482.420
09/10/2014;22.164.999.389.648.400
10/10/2014;22.039.999.389.648.400
13/10/2014;21.810.000.610.351.500
14/10/2014;22.189.999.389.648.400
15/10/2014;216.0
16/10/2014;21.710.000.610.351.500
17/10/2014;21.064.999.389.648.400
20/10/2014;19.939.999.389.648.400
21/10/2014;19.960.000.610.351.500
22/10/2014;19.110.000.610.351.500
23/10/2014;1.933.000.030.517.570
24/10/2014;191.5
27/10/2014;19.089.999.389.648.400
28/10/2014;19.235.000.610.351.500
29/10/2014;18.960.000.610.351.500
30/10/2014;18.760.000.610.351.500
31/10/2014;188.0
03/11/2014;18.585.000.610.351.500
04/11/2014;1.881.999.969.482.420
05/11/2014;186.25
06/11/2014;183.75
07/11/2014;18.239.999.389.648.400
10/11/2014;18.139.999.389.648.400
11/11/2014;1.845.500.030.517.570
12/11/2014;18.439.999.389.648.400
13/11/2014;188.75
14/11/2014;192.0
17/11/2014;187.5
18/11/2014;19.110.000.610.351.500
19/11/2014;19.785.000.610.351.500
20/11/2014;1.876.999.969.482.420
21/11/2014;18.964.999.389.648.400
24/11/2014;18.964.999.389.648.400
25/11/2014;194.25
26/11/2014;193.5
28/11/2014;18.664.999.389.648.400
01/12/2014;18.935.000.610.351.500
02/12/2014;1.823.000.030.517.570
03/12/2014;1.825.500.030.517.570
04/12/2014;1.815.500.030.517.570
05/12/2014;17.910.000.610.351.500
08/12/2014;1.770.500.030.517.570
09/12/2014;1.794.499.969.482.420
10/12/2014;1.775.500.030.517.570
11/12/2014;17.539.999.389.648.400
12/12/2014;173.0
15/12/2014;17.764.999.389.648.400
16/12/2014;1.766.999.969.482.420
17/12/2014;17.085.000.610.351.500
18/12/2014;17.364.999.389.648.400
19/12/2014;1.746.999.969.482.420
22/12/2014;17.214.999.389.648.400
23/12/2014;171.0
24/12/2014;17.014.999.389.648.400
26/12/2014;16.860.000.610.351.500
29/12/2014;16.514.999.389.648.400
30/12/2014;1.648.000.030.517.570
31/12/2014;16.660.000.610.351.500
02/01/2015;1.610.500.030.517.570
05/01/2015;16.810.000.610.351.500
06/01/2015;17.489.999.389.648.400
07/01/2015;1.750.500.030.517.570
08/01/2015;17.689.999.389.648.400
09/01/2015;1.800.500.030.517.570
12/01/2015;176.75
13/01/2015;1.769.499.969.482.420
14/01/2015;17.985.000.610.351.500
15/01/2015;17.664.999.389.648.400
16/01/2015;171.0
20/01/2015;1.643.000.030.517.570
21/01/2015;161.25
22/01/2015;1.599.499.969.482.420
23/01/2015;1.624.499.969.482.420
26/01/2015;16.185.000.610.351.500
27/01/2015;1.681.999.969.482.420
28/01/2015;1.676.999.969.482.420
29/01/2015;160.0
30/01/2015;16.189.999.389.648.400
02/02/2015;1.624.499.969.482.420
03/02/2015;160.75
04/02/2015;16.489.999.389.648.400
05/02/2015;164.75
06/02/2015;16.685.000.610.351.500
09/02/2015;16.760.000.610.351.500
10/02/2015;15.939.999.389.648.400
11/02/2015;1.594.499.969.482.420
12/02/2015;1.645.500.030.517.570
13/02/2015;1.631.999.969.482.420
17/02/2015;15.564.999.389.648.400
18/02/2015;1.528.000.030.517.570
19/02/2015;1.491.999.969.482.420
20/02/2015;14.864.999.389.648.400
23/02/2015;1.444.499.969.482.420
24/02/2015;14.535.000.610.351.500
25/02/2015;139.75
26/02/2015;1.365.500.030.517.570
27/02/2015;136.75
02/03/2015;13.510.000.610.351.500
03/03/2015;126.25
04/03/2015;1.340.500.030.517.570
05/03/2015;1.315.500.030.517.570
06/03/2015;136.5
09/03/2015;13.364.999.389.648.400
10/03/2015;1.316.999.969.482.420
11/03/2015;12.839.999.389.648.400
12/03/2015;12.885.000.610.351.500
13/03/2015;12.644.999.694.824.200
16/03/2015;13.489.999.389.648.400
17/03/2015;1.339.499.969.482.420
18/03/2015;136.25
19/03/2015;140.0
20/03/2015;14.335.000.610.351.500
23/03/2015;14.185.000.610.351.500
24/03/2015;1.373.000.030.517.570
25/03/2015;1.399.499.969.482.420
26/03/2015;140.25
27/03/2015;1.381.999.969.482.420
30/03/2015;13.235.000.610.351.500
31/03/2015;13.289.999.389.648.400
01/04/2015;13.485.000.610.351.500
02/04/2015;14.089.999.389.648.400
